Theta	E_f	T_f_abl	T_f_kreuz	E_af	T_af_abl	T_af_kreuz
0	-0.340327	0	6.07153e-18	0.131228	0	0
1	-0.340275	0.00593952	0.00593952	0.131208	0.00229024	0.00229024
2	-0.340119	0.0118772	0.0118772	0.131148	0.00457978	0.00457978
3	-0.33986	0.0178113	0.0178113	0.131048	0.00686792	0.00686792
4	-0.339498	0.02374	0.02374	0.130908	0.00915397	0.00915397
5	-0.339032	0.0296614	0.0296614	0.130728	0.0114372	0.0114372
6	-0.338462	0.0355738	0.0355738	0.130509	0.013717	0.013717
7	-0.33779	0.0414754	0.0414754	0.130249	0.0159926	0.0159926
8	-0.337015	0.0473643	0.0473643	0.12995	0.0182633	0.0182633
9	-0.336137	0.0532388	0.0532388	0.129612	0.0205285	0.0205285
10	-0.335156	0.0590971	0.0590971	0.129234	0.0227874	0.0227874
11	-0.334074	0.0649374	0.0649374	0.128817	0.0250394	0.0250394
12	-0.33289	0.0707579	0.0707579	0.12836	0.0272837	0.0272837
13	-0.331604	0.0765568	0.0765568	0.127864	0.0295198	0.0295198
14	-0.330217	0.0823325	0.0823325	0.12733	0.0317468	0.0317468
15	-0.32873	0.088083	0.088083	0.126756	0.0339642	0.0339642
16	-0.327143	0.0938067	0.0938067	0.126144	0.0361712	0.0361712
17	-0.325456	0.0995019	0.0995019	0.125494	0.0383672	0.0383672
18	-0.32367	0.105167	0.105167	0.124805	0.0405516	0.0405516
19	-0.321785	0.1108	0.1108	0.124078	0.0427235	0.0427235
20	-0.319802	0.116399	0.116399	0.123314	0.0448825	0.0448825
21	-0.317722	0.121962	0.121962	0.122511	0.0470278	0.0470278
22	-0.315545	0.127489	0.127489	0.121672	0.0491587	0.0491587
23	-0.313272	0.132976	0.132976	0.120796	0.0512747	0.0512747
24	-0.310904	0.138423	0.138423	0.119882	0.0533751	0.0533751
25	-0.308441	0.143828	0.143828	0.118933	0.0554592	0.0554592
26	-0.305884	0.149189	0.149189	0.117947	0.0575264	0.0575264
27	-0.303233	0.154505	0.154505	0.116925	0.0595761	0.0595761
28	-0.300491	0.159774	0.159774	0.115867	0.0616076	0.0616076
29	-0.297656	0.164994	0.164994	0.114774	0.0636204	0.0636204
30	-0.294731	0.170163	0.170163	0.113646	0.0656138	0.0656138
31	-0.291717	0.175281	0.175281	0.112484	0.0675872	0.0675872
32	-0.288613	0.180346	0.180346	0.111287	0.06954	0.06954
33	-0.285422	0.185355	0.185355	0.110057	0.0714717	0.0714717
34	-0.282144	0.190308	0.190308	0.108793	0.0733815	0.0733815
35	-0.278779	0.195203	0.195203	0.107495	0.075269	0.075269
36	-0.27533	0.200039	0.200039	0.106165	0.0771336	0.0771336
37	-0.271797	0.204814	0.204814	0.104803	0.0789747	0.0789747
38	-0.268181	0.209526	0.209526	0.103409	0.0807918	0.0807918
39	-0.264483	0.214174	0.214174	0.101983	0.0825842	0.0825842
40	-0.260705	0.218758	0.218758	0.100526	0.0843515	0.0843515
41	-0.256848	0.223274	0.223274	0.0990387	0.086093	0.086093
42	-0.252912	0.227723	0.227723	0.0975211	0.0878084	0.0878084
43	-0.248899	0.232102	0.232102	0.0959738	0.089497	0.089497
44	-0.24481	0.236411	0.236411	0.0943972	0.0911583	0.0911583
45	-0.240647	0.240647	0.240647	0.0927919	0.0927919	0.0927919
46	-0.236411	0.24481	0.24481	0.0911583	0.0943972	0.0943972
47	-0.232102	0.248899	0.248899	0.089497	0.0959738	0.0959738
48	-0.227723	0.252912	0.252912	0.0878084	0.0975211	0.0975211
49	-0.223274	0.256848	0.256848	0.086093	0.0990387	0.0990387
50	-0.218758	0.260705	0.260705	0.0843515	0.100526	0.100526
51	-0.214174	0.264483	0.264483	0.0825842	0.101983	0.101983
52	-0.209526	0.268181	0.268181	0.0807918	0.103409	0.103409
53	-0.204814	0.271797	0.271797	0.0789747	0.104803	0.104803
54	-0.200039	0.27533	0.27533	0.0771336	0.106165	0.106165
55	-0.195203	0.278779	0.278779	0.075269	0.107495	0.107495
56	-0.190308	0.282144	0.282144	0.0733815	0.108793	0.108793
57	-0.185355	0.285422	0.285422	0.0714717	0.110057	0.110057
58	-0.180346	0.288613	0.288613	0.06954	0.111287	0.111287
59	-0.175281	0.291717	0.291717	0.0675872	0.112484	0.112484
60	-0.170163	0.294731	0.294731	0.0656138	0.113646	0.113646
61	-0.164994	0.297656	0.297656	0.0636204	0.114774	0.114774
62	-0.159774	0.300491	0.300491	0.0616076	0.115867	0.115867
63	-0.154505	0.303233	0.303233	0.0595761	0.116925	0.116925
64	-0.149189	0.305884	0.305884	0.0575264	0.117947	0.117947
65	-0.143828	0.308441	0.308441	0.0554592	0.118933	0.118933
66	-0.138423	0.310904	0.310904	0.0533751	0.119882	0.119882
67	-0.132976	0.313272	0.313272	0.0512747	0.120796	0.120796
68	-0.127489	0.315545	0.315545	0.0491587	0.121672	0.121672
69	-0.121962	0.317722	0.317722	0.0470278	0.122511	0.122511
70	-0.116399	0.319802	0.319802	0.0448825	0.123314	0.123314
71	-0.1108	0.321785	0.321785	0.0427235	0.124078	0.124078
72	-0.105167	0.32367	0.32367	0.0405516	0.124805	0.124805
73	-0.0995019	0.325456	0.325456	0.0383672	0.125494	0.125494
74	-0.0938067	0.327143	0.327143	0.0361712	0.126144	0.126144
75	-0.088083	0.32873	0.32873	0.0339642	0.126756	0.126756
76	-0.0823325	0.330217	0.330217	0.0317468	0.12733	0.12733
77	-0.0765568	0.331604	0.331604	0.0295198	0.127864	0.127864
78	-0.0707579	0.33289	0.33289	0.0272837	0.12836	0.12836
79	-0.0649374	0.334074	0.334074	0.0250394	0.128817	0.128817
80	-0.0590971	0.335156	0.335156	0.0227874	0.129234	0.129234
81	-0.0532388	0.336137	0.336137	0.0205285	0.129612	0.129612
82	-0.0473643	0.337015	0.337015	0.0182633	0.12995	0.12995
83	-0.0414754	0.33779	0.33779	0.0159926	0.130249	0.130249
84	-0.0355738	0.338462	0.338462	0.013717	0.130509	0.130509
85	-0.0296614	0.339032	0.339032	0.0114372	0.130728	0.130728
86	-0.02374	0.339498	0.339498	0.00915397	0.130908	0.130908
87	-0.0178113	0.33986	0.33986	0.00686792	0.131048	0.131048
88	-0.0118772	0.340119	0.340119	0.00457978	0.131148	0.131148
89	-0.00593952	0.340275	0.340275	0.00229024	0.131208	0.131208
90	5.75928e-16	0.340327	0.340327	-2.22912e-16	0.131228	0.131228
91	0.00593952	0.340275	0.340275	-0.00229024	0.131208	0.131208
92	0.0118772	0.340119	0.340119	-0.00457978	0.131148	0.131148
93	0.0178113	0.33986	0.33986	-0.00686792	0.131048	0.131048
94	0.02374	0.339498	0.339498	-0.00915397	0.130908	0.130908
95	0.0296614	0.339032	0.339032	-0.0114372	0.130728	0.130728
96	0.0355738	0.338462	0.338462	-0.013717	0.130509	0.130509
97	0.0414754	0.33779	0.33779	-0.0159926	0.130249	0.130249
98	0.0473643	0.337015	0.337015	-0.0182633	0.12995	0.12995
99	0.0532388	0.336137	0.336137	-0.0205285	0.129612	0.129612
100	0.0590971	0.335156	0.335156	-0.0227874	0.129234	0.129234
101	0.0649374	0.334074	0.334074	-0.0250394	0.128817	0.128817
102	0.0707579	0.33289	0.33289	-0.0272837	0.12836	0.12836
103	0.0765568	0.331604	0.331604	-0.0295198	0.127864	0.127864
104	0.0823325	0.330217	0.330217	-0.0317468	0.12733	0.12733
105	0.088083	0.32873	0.32873	-0.0339642	0.126756	0.126756
106	0.0938067	0.327143	0.327143	-0.0361712	0.126144	0.126144
107	0.0995019	0.325456	0.325456	-0.0383672	0.125494	0.125494
108	0.105167	0.32367	0.32367	-0.0405516	0.124805	0.124805
109	0.1108	0.321785	0.321785	-0.0427235	0.124078	0.124078
110	0.116399	0.319802	0.319802	-0.0448825	0.123314	0.123314
111	0.121962	0.317722	0.317722	-0.0470278	0.122511	0.122511
112	0.127489	0.315545	0.315545	-0.0491587	0.121672	0.121672
113	0.132976	0.313272	0.313272	-0.0512747	0.120796	0.120796
114	0.138423	0.310904	0.310904	-0.0533751	0.119882	0.119882
115	0.143828	0.308441	0.308441	-0.0554592	0.118933	0.118933
116	0.149189	0.305884	0.305884	-0.0575264	0.117947	0.117947
117	0.154505	0.303233	0.303233	-0.0595761	0.116925	0.116925
118	0.159774	0.300491	0.300491	-0.0616076	0.115867	0.115867
119	0.164994	0.297656	0.297656	-0.0636204	0.114774	0.114774
120	0.170163	0.294731	0.294731	-0.0656138	0.113646	0.113646
121	0.175281	0.291717	0.291717	-0.0675872	0.112484	0.112484
122	0.180346	0.288613	0.288613	-0.06954	0.111287	0.111287
123	0.185355	0.285422	0.285422	-0.0714717	0.110057	0.110057
124	0.190308	0.282144	0.282144	-0.0733815	0.108793	0.108793
125	0.195203	0.278779	0.278779	-0.075269	0.107495	0.107495
126	0.200039	0.27533	0.27533	-0.0771336	0.106165	0.106165
127	0.204814	0.271797	0.271797	-0.0789747	0.104803	0.104803
128	0.209526	0.268181	0.268181	-0.0807918	0.103409	0.103409
129	0.214174	0.264483	0.264483	-0.0825842	0.101983	0.101983
130	0.218758	0.260705	0.260705	-0.0843515	0.100526	0.100526
131	0.223274	0.256848	0.256848	-0.086093	0.0990387	0.0990387
132	0.227723	0.252912	0.252912	-0.0878084	0.0975211	0.0975211
133	0.232102	0.248899	0.248899	-0.089497	0.0959738	0.0959738
134	0.236411	0.24481	0.24481	-0.0911583	0.0943972	0.0943972
135	0.240647	0.240647	0.240647	-0.0927919	0.0927919	0.0927919
136	0.24481	0.236411	0.236411	-0.0943972	0.0911583	0.0911583
137	0.248899	0.232102	0.232102	-0.0959738	0.089497	0.089497
138	0.252912	0.227723	0.227723	-0.0975211	0.0878084	0.0878084
139	0.256848	0.223274	0.223274	-0.0990387	0.086093	0.086093
140	0.260705	0.218758	0.218758	-0.100526	0.0843515	0.0843515
141	0.264483	0.214174	0.214174	-0.101983	0.0825842	0.0825842
142	0.268181	0.209526	0.209526	-0.103409	0.0807918	0.0807918
143	0.271797	0.204814	0.204814	-0.104803	0.0789747	0.0789747
144	0.27533	0.200039	0.200039	-0.106165	0.0771336	0.0771336
145	0.278779	0.195203	0.195203	-0.107495	0.075269	0.075269
146	0.282144	0.190308	0.190308	-0.108793	0.0733815	0.0733815
147	0.285422	0.185355	0.185355	-0.110057	0.0714717	0.0714717
148	0.288613	0.180346	0.180346	-0.111287	0.06954	0.06954
149	0.291717	0.175281	0.175281	-0.112484	0.0675872	0.0675872
150	0.294731	0.170163	0.170163	-0.113646	0.0656138	0.0656138
151	0.297656	0.164994	0.164994	-0.114774	0.0636204	0.0636204
152	0.300491	0.159774	0.159774	-0.115867	0.0616076	0.0616076
153	0.303233	0.154505	0.154505	-0.116925	0.0595761	0.0595761
154	0.305884	0.149189	0.149189	-0.117947	0.0575264	0.0575264
155	0.308441	0.143828	0.143828	-0.118933	0.0554592	0.0554592
156	0.310904	0.138423	0.138423	-0.119882	0.0533751	0.0533751
157	0.313272	0.132976	0.132976	-0.120796	0.0512747	0.0512747
158	0.315545	0.127489	0.127489	-0.121672	0.0491587	0.0491587
159	0.317722	0.121962	0.121962	-0.122511	0.0470278	0.0470278
160	0.319802	0.116399	0.116399	-0.123314	0.0448825	0.0448825
161	0.321785	0.1108	0.1108	-0.124078	0.0427235	0.0427235
162	0.32367	0.105167	0.105167	-0.124805	0.0405516	0.0405516
163	0.325456	0.0995019	0.0995019	-0.125494	0.0383672	0.0383672
164	0.327143	0.0938067	0.0938067	-0.126144	0.0361712	0.0361712
165	0.32873	0.088083	0.088083	-0.126756	0.0339642	0.0339642
166	0.330217	0.0823325	0.0823325	-0.12733	0.0317468	0.0317468
167	0.331604	0.0765568	0.0765568	-0.127864	0.0295198	0.0295198
168	0.33289	0.0707579	0.0707579	-0.12836	0.0272837	0.0272837
169	0.334074	0.0649374	0.0649374	-0.128817	0.0250394	0.0250394
